source_id,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag
4056458519311932160,OGLE-BLG-ELL-009031,268.08008,-29.546223,ELL,ELL,13.013209,14.6,5.2959995,456.87344,,,268.0800795652946,-29.546246779129,0.005,0.005,90.0,268.08006469596,0.1847,-29.54626115589,0.2076,-0.3475,0.2836,-3.004,0.344,-3.339,0.297,false,6133.48,31.1825,16.219099,637.513,79.7321,18.340166,15589.4,357.29,14.279847,4.060319,,,0,3696.77,,,,,0.085616,6737.97297100512,3947.21467979236,11180.6389441345,0.45735405896466474,0.45735405896466474
4043546610757070336,OGLE-BLG-RRLYR-06411,268.44113,-32.55903,RRLYR,RRab,15.671895,16.205,1.6270008,0.56406474,,,268.44114240178,-32.5590518057113,0.003,0.003,90.0,268.44110931588,0.1249,-32.55906648849,0.109,0.1492,0.1325,-6.477,0.217,-3.41,0.186,false,2320.84,26.4691,17.27425,1280.1,83.817,17.583279,3152.28,96.9199,16.01536,1.567919,,,0,,,,,,0.087054,5139.93435647384,3191.74176062785,8945.99440929601,2.6502120610285367,2.6502120610285367
4057321120544170368,OGLE-BLG-LPV-074638,267.8774,-29.296,LPV,Mira,79.2615,15.208,,329.9,,,267.8774134327878,-29.2959892929385,0.01,0.008,90.0,267.87740660222,0.3594,-29.2960400363,0.3298,2.1898,0.3911,-1.384,0.637,-11.786,0.524,false,3234.27,116.31,16.913925,267.473,24.5836,19.28319,8990.52,777.694,14.877458,4.405732,,,0,3488.03,,,,,0.057134,479.104309247743,390.758131052252,619.231661539663,6.80584979767198,6.80584979767198
4068866340554800768,OGLE-BLG-LPV-044730,267.09766,-23.179916,LPV,Mira,158.302,13.457,5.6619997,258.7,,,267.0976352893929,-23.1799130635659,0.007,0.004,90.0,267.09762618544,0.1855,-23.17994188905,0.1727,0.1779,0.227,-1.944,0.453,-6.695,0.284,false,14242.6,737.296,15.304394,908.19,129.315,17.955946,30343.0,4279.14,13.556772,4.399174,,,0,3375.0,,,,,0.082457,4143.58469330435,2397.00127779681,7441.3712673611,0.3701186783203916,0.3701186783203916
4056157012594853888,OGLE-BLG-ELL-009053,268.08496,-30.519194,ELL,ELL,7.371936,14.562,4.7320004,421.4679,,,268.0849419808482,-30.5191843993924,0.004,0.003,90.0,268.08491990165,0.1389,-30.51921506663,0.1224,0.1744,0.1447,-4.418,0.248,-7.123,0.198,false,6427.18,14.8904,16.168314,494.438,22.8297,18.616108,12300.3,127.173,14.537128,4.07898,,,0,3381.67,2.805,1.4265,,,0.065706,4835.34680261754,2945.15817008972,8648.56189731773,1.1398621337918868,1.1398621337918868
4050758376154851712,OGLE-BLG-ECL-343506,272.5749,-28.547916,ECL,NC,10.044008,15.252,1.1169996,5.2577634,,,272.5748510512117,-28.5479202991694,0.005,0.004,90.0,272.57488788078,0.1974,-28.54795503697,0.1681,-2.3621,0.2377,7.514,0.322,-8.068,0.278,false,7147.66,99.8319,16.052958,3247.15,78.3176,16.572632,8244.1,165.889,14.971562,1.60107,,,0,4462.55,,,,,0.155563,12236.217625812,8653.51743671667,17153.3016529606,-0.18623610733274631,-0.18623610733274631
4068777825528217984,OGLE-BLG-ELL-006070,266.75183,-23.273666,ELL,ELL,10.330569,13.607,1.1409998,0.6760998,,,266.7518046779233,-23.2736900287814,0.001,0.001,90.0,266.75181170288,0.0344,-23.27370280931,0.0306,0.582,0.0375,1.499,0.065,-2.968,0.052,false,29477.6,81.3749,14.514635,13661.0,152.744,15.012679,26100.0,284.206,13.720317,1.292362,,,0,4700.74,,,3.06,4.106,0.120397,1643.74101994208,1545.92778268659,1754.49727011255,2.52783338490163,2.52783338490163
4062884928604606720,OGLE-BLG-LPV-195067,270.93454,-28.158472,LPV,Mira,64.20012,13.638,5.821,192.57,,,270.9345265382237,-28.1584843935043,0.007,0.006,90.0,270.93450888182,0.2512,-28.15850175693,0.2255,0.11,0.2185,-3.615,0.446,-4.033,0.374,false,13673.8,316.761,15.348642,1373.26,158.3,17.507008,31395.9,2316.3,13.519736,3.987271,,,0,3701.71,,,,,0.061775,5005.90387715217,2855.89613704556,8897.85377247369,0.14058700423391812,0.14058700423391812
4043612169025742976,OGLE-BLG-T2CEP-162,268.47928,-32.030804,T2CEP,WVir,35.754997,13.964,2.1999998,9.753856,,,268.4792580345937,-32.0308282638336,0.002,0.001,90.0,268.47927190387,0.0525,-32.03084389003,0.047,0.1693,0.0598,2.731,0.105,-3.629,0.085,false,14994.1,150.287,15.248568,3714.23,125.926,16.426716,19079.5,564.758,14.060501,2.366215,,,0,3567.14,1.9038,0.944,,,0.110109,4995.35179065537,3755.39309034033,7179.67130751472,0.4711693571310853,0.4711693571310853
4050364858416160512,OGLE-BLG-ECL-289765,271.17926,-29.38914,ECL,NC,10.89565,15.896,,0.2700528,,,271.1792319940416,-29.389170224996,0.012,0.01,90.0,271.17925786047,0.4255,-29.38918044629,0.5705,2.8677,0.8797,5.235,0.766,-2.374,0.671,false,3807.81,38.7285,16.736677,2161.35,65.7622,17.014574,4175.01,62.5591,15.710277,1.304297,,,0,5025.33,,,,,0.139845,438.051290587987,244.269932787817,5411.90416085401,7.688375087488367,7.688375087488367
