source_id,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist,r_est,r_lo,r_hi,abs_Imag,abs_Gmag,V
4657283178004388608,OGLE-LMC-RRLYR-19646,83.822205,-69.550026,RRLYR,RRab,6.355986,18.02,0.8519993,0.5761396,,,83.82222419225,0.3123,-69.55002154306,0.8295,,,,,,,453.464,3.56973,19.047009,778.979,3.42057,18.122574,976.989,27.0809,17.287195,0.835379,,,0,,,,,,0.028986,,,,,,-17.168001157763673
4056527552308473728,OGLE-BLG-ECL-195900,269.08807,-29.27725,ECL,NC,16.849976,14.84,1.2910004,0.9515226,,,269.08807932438,0.9205,-29.27725010815,0.8203,,,,,,,9010.51,99.336,15.801492,4028.41,44.5463,16.338554,10892.3,245.068,14.669122,1.669433,,,0,4460.0,,,,,0.029283,,,,,,-13.548999752587891
4658170556918129664,OGLE-LMC-RRLYR-10469,79.48488,-69.58403,RRLYR,RRab,5.2688694,18.672,0.32299995,0.626515,-1.822,-1.888,79.48487627946,2.0326,-69.58402162939,2.1854,,,,,,,528.398,21.2259,18.880964,,,,,,,,,,0,,,,,,0.030494,,,,,,-18.349000935009766
4056252124647899392,OGLE-BLG-RRLYR-09025,269.52213,-29.955305,RRLYR,RRab,6.894272,16.473,1.5340004,0.60876435,,,269.52213894871,1.4086,-29.95530879802,1.2009,,,,,,,1724.27,30.1411,17.596853,,,,,,,,,,0,,,,,,0.031081,,,,,,-14.938999172753906
4061388179721702016,OGLE-BLG-RRLYR-00933,263.5515,-26.959639,RRLYR,RRab,5.958293,18.337,2.2140007,0.41467547,,,263.55150355605,0.7598,-26.95964712473,0.5934,,,,,,,239.144,5.19835,19.741718,118.232,23.7207,20.16955,558.207,22.6058,17.894932,2.274618,,,0,,,,,,0.031396,,,,,,-16.122999193188477
4056327436895374720,OGLE-BLG-RRLYR-08428,269.26178,-29.612417,RRLYR,RRab,11.367013,16.372,2.0750008,0.5691987,,,269.26178788993,9.4539,-29.61241161309,8.2188,,,,,,,1680.47,33.854,17.62479,,,,,,,,,,0,,,,,,0.031399,,,,,,-14.296998940600586
4063166815901862656,OGLE-BLG-RRLYR-10941,270.32056,-27.450417,RRLYR,RRab,5.9507318,16.524,2.0340004,0.7259915,,,270.32055360296,2.1528,-27.45042403379,1.8832,,,,,,,1595.54,14.6535,17.681095,,,,,,,,,,0,,,,,,0.03254,,,,,,-14.48999976784668
4062677601912834560,OGLE-BLG-RRLYR-10198,269.98184,-28.346527,RRLYR,RRab,16.379915,15.515,1.4649992,0.5648106,,,269.98183242277,1.2085,-28.34652088576,1.0894,,,,,,,4753.92,77.6924,16.495735,2826.78,194.009,16.723158,8481.69,216.451,14.940714,1.782444,,,0,5095.63,,,,,0.032571,,,,,,-14.050001143322755
4056310639302474752,OGLE-BLG-RRLYR-08834,269.44357,-29.76064,RRLYR,RRab,9.958562,16.442,1.7469997,0.3375401,,,269.44356820191,0.2559,-29.76064895947,0.2511,,,,,,,1658.82,42.3614,17.63887,1515.76,166.156,17.39981,3912.39,59.4138,15.780815,1.618996,,,0,,,,,,0.03274,,,,,,-14.694999735424805
4657081662435184768,OGLE-LMC-CEP-2535,84.030334,-71.01119,CEP,1O,9.831237,15.379,0.67900085,1.9046842,,,84.0303369555,0.7227,-71.0111990621,0.6966,,,,,,,8982.95,144.27,15.804818,11517.7,317.497,15.197975,12074.0,1389.64,14.557289,0.640686,,,0,5095.63,,,,,0.032807,,,,,,-14.699998860083008
