source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,OGLE-ID,RA,Dec,Type,subType,SNR,I,V_I,Period,[Fe/H]_J95,[Fe/H]_ZW,r_est,r_lo,r_hi,abs_Gmag,abs_Imag,V
4050829058503287040,272.276069079101,0.10087327473652724,-28.192061802519824,0.08603152831874969,-0.20950095775224736,0.11105699666296082,-1.738179175059624,0.18125321459111302,-3.034759629052085,0.15275186905110805,32148.84236563306,51.15968977607087,14.420452,5063.123582232768,77.15876881204728,16.090342,61723.48292452509,7675.248996195686,12.785794,3.3045473,,,0,3771.015,,,,,OGLE-BLG-LPV-219148,272.27646,-28.191778,LPV,Mira,106.18319,12.569,3.2749996,356.8,,,9658.18782245566,6627.44382001937,14101.0988945135,-0.5040261163636757,-2.3554779901429725,-9.294000644140624
4063251199138761600,271.1693249028332,0.10223196800585563,-27.011461698381737,0.0825623923696512,0.02926745083630836,0.09605061606077091,-0.1751530477358463,0.18651352053823633,-3.857857211346523,0.1521646226527713,4301.1100612737,7.355702778720999,16.604414,1629.4853223372413,96.31817455640196,17.321262,7895.110749066212,151.88456156376554,15.018524,2.3027382,,,0,4250.0,,,,,OGLE-BLG-RRLYR-12575,271.16934,-27.011889,RRLYR,RRab,7.873388,16.007,1.6389999,0.6093799,,,6975.74053957155,4740.79640324108,10610.2342561537,2.3864623923001815,1.7890483755765487,-14.368000069482422
4041940258518633088,266.8582348009896,0.12013070487890563,-33.3450164140811,0.11214449803675622,0.2434829953375956,0.13912970676204034,-5.391039931788304,0.25182610476305756,-2.592743588205837,0.20414950177826696,1678.184234920109,2.9686048552115163,17.626266,522.5931457266854,57.42420404724204,18.555979,2689.11114551006,78.99510641269806,16.187899,2.3680801,,,0,,,,,,OGLE-BLG-RRLYR-02733,266.8585,-33.344612,RRLYR,RRab,13.351676,17.105,2.0760002,0.45893493,,,3941.40748506056,2473.91193582755,7211.44838890177,4.648009794424588,4.126742857168729,-15.028999342236329
4056135920082075648,268.5277794042582,0.14482536924752495,-30.750434542644378,0.12884747592508133,0.10848308166183408,0.13568995065120487,-1.7630872476664925,0.26644225809191097,-6.974946050834734,0.2134642302473305,2424.727606535809,3.276017751996607,17.226707,764.9261434843193,37.96362965649455,18.14234,4862.115051817104,70.73902030679916,15.544857,2.5974827,,,0,,,,,,OGLE-BLG-RRLYR-06640,268.5278,-30.750694,RRLYR,RRab,13.499428,16.821,1.9650002,0.45310268,,,5663.14343520774,3489.69229815404,9696.91555564279,3.4614196509546993,3.055711337966418,-14.855998945507812
4056331147760186880,269.3997421109189,0.14000872798346017,-29.448506369461473,0.14023157309640788,-0.17808195704536672,0.2113476241819316,-4.127824004583369,0.25583567473883256,-5.969534565273545,0.20728678718641455,3533.6669931092156,9.992642534358893,16.817802,1470.2156323211875,152.2967424609043,17.432936,6261.574880790297,274.88433558725075,15.270211,2.1627245,,,0,4419.0,,,,,OGLE-BLG-RRLYR-08735,269.39926,-29.448166,RRLYR,RRab,12.627106,16.129,1.875,0.58756614,,,6913.35632497553,4179.81805249559,11285.8885310682,2.619357720888207,1.930555001771996,-14.253999710083008
4056349259685776256,268.0082357878155,0.126069973846376,-30.38271014216307,0.10923886914562178,0.17453627660286855,0.1340761192094089,-5.324742310255499,0.22572989729541623,-7.834897418266808,0.1828715625079056,5546.559062914627,6.44566389769978,16.328306,698.3583057778277,26.776645052812363,18.241192,10490.432566956295,78.30019164417817,14.709936,3.5312557,,,0,3698.06,,,,,OGLE-BLG-RRLYR-05167,268.00812,-30.383028,RRLYR,RRab,10.523365,16.634,2.5279999,0.6399987,,,4837.52337394337,2992.90559433082,8593.71931383043,2.90519081584047,3.210885395918595,-14.106000878198241
4056603040749207680,268.54427395192886,0.10004183582282948,-28.941463053890363,0.08886488236551392,0.09806412000495282,0.11107236679366253,-2.8131216501778282,0.20834318474965544,-6.252470627461674,0.15804027938579523,5408.684086245519,5.323936409735615,16.355637,1189.4902252289723,40.60475716273292,17.662987,10051.945100887431,144.9996019818828,14.756294,2.9066925,,,0,3709.0,,,,,OGLE-BLG-RRLYR-06684,268.54468,-28.941473,RRLYR,RRab,12.236588,16.637,1.8990002,0.44414443,,,5945.10434100404,3841.74381339815,9754.17465282332,2.4848391906154426,2.7662017241847785,-14.737998930249024
4062373926363952128,269.8938237067961,0.11522037421566256,-28.947105004232846,0.11208361532571183,-0.060705656463503864,0.12591889740331783,-9.585674065502829,0.2539555897043076,-5.579333491989717,0.20416306883318358,9860.98496506162,13.782565395717372,15.703565,3099.8913079667536,197.35532517968898,16.623022,14437.215812452156,110.57664047719375,14.363212,2.2598104,,,0,3855.595,,,,,OGLE-BLG-RRLYR-10008,269.89438,-28.947056,RRLYR,RRc,9.501707,16.05,1.3050003,0.3043481,,,7675.29153758846,4969.46813345092,11986.0375379885,1.2780902405331105,1.624524833733794,-14.744998937060547
4062441855405849856,270.8127141068207,0.036598233543685015,-28.699332278885826,0.036421401796971814,0.2808683260386994,0.0416282252873612,2.165877484430658,0.07993225929864307,-0.19504515119786942,0.06857049009611735,42075.31745580267,31.697572196015706,14.128297,14960.280046869326,103.038341268626,14.914039,51120.61071724087,2058.5777291680165,12.99043,1.9236088,,,0,3990.5,,,,,OGLE-BLG-ELL-017815,270.81308,-28.699722,ELL,ELL,7.3823185,13.537,2.7769995,126.582275,,,3260.67955157025,2847.44094190479,3808.49782955675,1.5617562524749715,0.9704591028167684,-10.760000202453613
4063285490183165696,271.64574881097815,0.09540951249372527,-26.702614064065,0.0950481529027632,0.34043667512316933,0.11290853972914715,-0.24509245633843466,0.18813651246717852,-5.179040918157029,0.16214898998550814,5041.411689167017,6.474521676832398,16.431986,2509.6694830319398,106.65287276242672,16.852346,6838.740424752368,97.75493330369979,15.1744795,1.6778669,,,0,4777.0,,,,,OGLE-BLG-RRLYR-13509,271.64545,-26.703,RRLYR,RRab,22.736303,15.811,1.2799997,0.5336766,,,2879.22473709383,2052.46372998049,4596.81095463221,4.1356080304160585,3.5146220456138124,-14.531000170300294
4056156398493049344,268.17893620455453,0.3808068818130474,-30.52704002689255,0.36237891805296274,-0.1433210664361822,0.48132515249953456,-0.27891111285476233,0.7400918305175801,-2.3887917069577753,0.6487474989750665,407.85792323860016,2.2002741991611376,19.162094,143.60810117241846,20.9896557776896,19.95844,1153.3757676711334,16.99469768594658,17.106993,2.851448,,,0,,,,,,OGLE-BLG-RRLYR-05661,268.17908,-30.527306,RRLYR,RRab,6.421193,17.979,2.8810005,0.57471734,,,5337.71657612048,2700.88738719198,9745.7935972308,5.52531656746865,4.342222542810447,-15.097999591552735
4056437044480065536,267.44189658241527,0.12906798104880796,-29.904475962464748,0.11360953739493429,0.16752003414718594,0.14769097317327798,-6.133754830446219,0.26045353287267997,-6.902835228043927,0.20658115856083967,3536.5531181166134,4.175390098018846,16.816916,218.3893155427746,11.456608193457887,19.50331,7549.082095776431,205.16147706446492,15.067184,4.436125,,,0,3392.75,2.849,1.442,,,OGLE-BLG-LPV-055852,267.4414,-29.904444,LPV,Mira,106.13769,15.068,,366.2,,,4896.60645435039,2964.96607881492,8755.61642186691,3.3674395086082463,1.6185238363060002,
4043559980931555200,268.5029912261772,0.15181310033275427,-32.29220571959905,0.12882429479130675,-0.029450985217408056,0.16218634213074792,-7.163128678563802,0.27150074933423124,-7.244402541214654,0.22726453018292428,2402.820017266197,5.77357303509424,17.236563,815.596778175883,19.280698657375414,18.072699,3767.95495620802,90.24307397818257,15.821655,2.2510433,,,0,,,,,,OGLE-BLG-RRLYR-06577,268.50305,-32.291805,RRLYR,RRab,12.843267,17.194,1.8570004,0.38222885,,,6727.37566507005,4120.38498070606,11058.8323972291,3.097334329347227,3.054771844606016,-15.336999844140625
